Freq.	V(vout)
1.53461698279928e+04	(-3.22368135588567e-02dB,-1.12839345059797e+02°)
1.53815464030302e+04	(-3.22419253680353e-02dB,-1.13105449141379e+02°)
1.54170045294954e+04	(-3.22455996878826e-02dB,-1.13372217285675e+02°)
1.54525443953840e+04	(-3.22478228903737e-02dB,-1.13639651512521e+02°)
1.54881661891247e+04	(-3.22485813982873e-02dB,-1.13907753851248e+02°)
1.55238700995807e+04	(-3.22478616894189e-02dB,-1.14176526340747e+02°)
1.55596563160506e+04	(-3.22456503006908e-02dB,-1.14445971029527e+02°)
1.55955250282694e+04	(-3.22419338322876e-02dB,-1.14716089975778e+02°)
1.56314764264094e+04	(-3.22366989521025e-02dB,-1.14986885247432e+02°)
1.56675107010813e+04	(-3.22299324000665e-02dB,-1.15258358922226e+02°)
1.57036280433354e+04	(-3.22216209926070e-02dB,-1.15530513087763e+02°)
1.57398286446620e+04	(-3.22117516272319e-02dB,-1.15803349841572e+02°)
1.57761126969933e+04	(-3.22003112871797e-02dB,-1.16076871291178e+02°)
1.58124803927037e+04	(-3.21872870460378e-02dB,-1.16351079554155e+02°)
1.58489319246110e+04	(-3.21726660726564e-02dB,-1.16625976758195e+02°)
1.58854674859776e+04	(-3.21564356359431e-02dB,-1.16901565041171e+02°)
1.59220872705115e+04	(-3.21385831098322e-02dB,-1.17177846551196e+02°)
1.59587914723672e+04	(-3.21190959783737e-02dB,-1.17454823446691e+02°)
1.59955802861465e+04	(-3.20979618408269e-02dB,-1.17732497896445e+02°)
1.60324539069002e+04	(-3.20751684168543e-02dB,-1.18010872079682e+02°)
1.60694125301286e+04	(-3.20507035518524e-02dB,-1.18289948186118e+02°)
1.61064563517825e+04	(-3.20245552223005e-02dB,-1.18569728416036e+02°)
1.61435855682647e+04	(-3.19967115413012e-02dB,-1.18850214980338e+02°)
1.61808003764305e+04	(-3.19671607640203e-02dB,-1.19131410100618e+02°)
1.62181009735891e+04	(-3.19358912933322e-02dB,-1.19413316009221e+02°)
1.62554875575047e+04	(-3.19028916856912e-02dB,-1.19695934949311e+02°)
1.62929603263970e+04	(-3.18681506567684e-02dB,-1.19979269174931e+02°)
1.63305194789432e+04	(-3.18316570874302e-02dB,-1.20263320951073e+02°)
1.63681652142779e+04	(-3.17934000297372e-02dB,-1.20548092553737e+02°)
1.64058977319952e+04	(-3.17533687129541e-02dB,-1.20833586270000e+02°)
1.64437172321491e+04	(-3.17115525497148e-02dB,-1.21119804398079e+02°)
1.64816239152549e+04	(-3.16679411423923e-02dB,-1.21406749247394e+02°)
1.65196179822900e+04	(-3.16225242892156e-02dB,-1.21694423138637e+02°)
1.65576996346951e+04	(-3.15752919909084e-02dB,-1.21982828403833e+02°)
1.65958690743754e+04	(-3.15262344570179e-02dB,-1.22271967386406e+02°)
1.66341265037015e+04	(-3.14753421126178e-02dB,-1.22561842441246e+02°)
1.66724721255104e+04	(-3.14226056049477e-02dB,-1.22852455934770e+02°)
1.67109061431069e+04	(-3.13680158102311e-02dB,-1.23143810244990e+02°)
1.67494287602642e+04	(-3.13115638404872e-02dB,-1.23435907761577e+02°)
1.67880401812254e+04	(-3.12532410504648e-02dB,-1.23728750885925e+02°)
1.68267406107045e+04	(-3.11930390447018e-02dB,-1.24022342031218e+02°)
1.68655302538872e+04	(-3.11309496846732e-02dB,-1.24316683622493e+02°)
1.69044093164324e+04	(-3.10669650959404e-02dB,-1.24611778096704e+02°)
1.69433780044731e+04	(-3.10010776754770e-02dB,-1.24907627902791e+02°)
1.69824365246172e+04	(-3.09332800989764e-02dB,-1.25204235501739e+02°)
1.70215850839493e+04	(-3.08635653284411e-02dB,-1.25501603366647e+02°)
1.70608238900310e+04	(-3.07919266196496e-02dB,-1.25799733982789e+02°)
1.71001531509027e+04	(-3.07183575297775e-02dB,-1.26098629847682e+02°)
1.71395730750840e+04	(-3.06428519251399e-02dB,-1.26398293471148e+02°)
1.71790838715757e+04	(-3.05654039889717e-02dB,-1.26698727375380e+02°)
1.72186857498599e+04	(-3.04860082293379e-02dB,-1.26999934095003e+02°)
1.72583789199018e+04	(-3.04046594870561e-02dB,-1.27301916177141e+02°)
1.72981635921508e+04	(-3.03213529437954e-02dB,-1.27604676181479e+02°)
1.73380399775412e+04	(-3.02360841301238e-02dB,-1.27908216680330e+02°)
1.73780082874935e+04	(-3.01488489337921e-02dB,-1.28212540258693e+02°)
1.74180687339159e+04	(-3.00596436079440e-02dB,-1.28517649514321e+02°)
1.74582215292048e+04	(-2.99684647795108e-02dB,-1.28823547057781e+02°)
1.74984668862463e+04	(-2.98753094576612e-02dB,-1.29130235512520e+02°)
1.75388050184174e+04	(-2.97801750422570e-02dB,-1.29437717514926e+02°)
1.75792361395867e+04	(-2.96830593325022e-02dB,-1.29745995714390e+02°)
1.76197604641161e+04	(-2.95839605355402e-02dB,-1.30055072773369e+02°)
1.76603782068614e+04	(-2.94828772751818e-02dB,-1.30364951367450e+02°)
1.77010895831740e+04	(-2.93798086007746e-02dB,-1.30675634185408e+02°)
1.77418948089014e+04	(-2.92747539959790e-02dB,-1.30987123929271e+02°)
1.77827941003890e+04	(-2.91677133877486e-02dB,-1.31299423314379e+02°)
1.78237876744807e+04	(-2.90586871553237e-02dB,-1.31612535069447e+02°)
1.78648757485203e+04	(-2.89476761392358e-02dB,-1.31926461936625e+02°)
1.79060585403527e+04	(-2.88346816504812e-02dB,-1.32241206671557e+02°)
1.79473362683250e+04	(-2.87197054797902e-02dB,-1.32556772043445e+02°)
1.79887091512876e+04	(-2.86027499066379e-02dB,-1.32873160835103e+02°)
1.80301774085955e+04	(-2.84838177086990e-02dB,-1.33190375843023e+02°)
1.80717412601090e+04	(-2.83629121711670e-02dB,-1.33508419877430e+02°)
1.81134009261958e+04	(-2.82400370962077e-02dB,-1.33827295762341e+02°)
1.81551566277311e+04	(-2.81151968122300e-02dB,-1.34147006335627e+02°)
1.81970085860996e+04	(-2.79883961835883e-02dB,-1.34467554449066e+02°)
1.82389570231961e+04	(-2.78596406200008e-02dB,-1.34788942968406e+02°)
1.82810021614272e+04	(-2.77289360861140e-02dB,-1.35111174773418e+02°)
1.83231442237119e+04	(-2.75962891112092e-02dB,-1.35434252757955e+02°)
1.83653834334832e+04	(-2.74617067987727e-02dB,-1.35758179830009e+02°)
1.84077200146893e+04	(-2.73251968362998e-02dB,-1.36082958911768e+02°)
1.84501541917945e+04	(-2.71867675047731e-02dB,-1.36408592939669e+02°)
1.84926861897805e+04	(-2.70464276887230e-02dB,-1.36735084864455e+02°)
1.85353162341479e+04	(-2.69041868857838e-02dB,-1.37062437651231e+02°)
1.85780445509167e+04	(-2.67600552165035e-02dB,-1.37390654279516e+02°)
1.86208713666284e+04	(-2.66140434343045e-02dB,-1.37719737743299e+02°)
1.86637969083464e+04	(-2.64661629350100e-02dB,-1.38049691051093e+02°)
1.87068214036577e+04	(-2.63164257670451e-02dB,-1.38380517225987e+02°)
1.87499450806739e+04	(-2.61648446410032e-02dB,-1.38712219305699e+02°)
1.87931681680324e+04	(-2.60114329395344e-02dB,-1.39044800342628e+02°)
1.88364908948977e+04	(-2.58562047273394e-02dB,-1.39378263403906e+02°)
1.88799134909627e+04	(-2.56991747608099e-02dB,-1.39712611571451e+02°)
1.89234361864495e+04	(-2.55403584980053e-02dB,-1.40047847942015e+02°)
1.89670592121112e+04	(-2.53797721083710e-02dB,-1.40383975627237e+02°)
1.90107827992327e+04	(-2.52174324826170e-02dB,-1.40720997753690e+02°)
1.90546071796322e+04	(-2.50533572424378e-02dB,-1.41058917462934e+02°)
1.90985325856621e+04	(-2.48875647502780e-02dB,-1.41397737911561e+02°)
1.91425592502106e+04	(-2.47200741190881e-02dB,-1.41737462271249e+02°)
1.91866874067026e+04	(-2.45509052219487e-02dB,-1.42078093728804e+02°)
1.92309172891013e+04	(-2.43800787017828e-02dB,-1.42419635486209e+02°)
1.92752491319091e+04	(-2.42076159809047e-02dB,-1.42762090760676e+02°)
1.93196831701689e+04	(-2.40335392705777e-02dB,-1.43105462784684e+02°)
1.93642196394658e+04	(-2.38578715805442e-02dB,-1.43449754806034e+02°)
1.94088587759275e+04	(-2.36806367284354e-02dB,-1.43794970087888e+02°)
1.94536008162263e+04	(-2.35018593490905e-02dB,-1.44141111908817e+02°)
1.94984459975802e+04	(-2.33215649039317e-02dB,-1.44488183562845e+02°)
1.95433945577536e+04	(-2.31397796901610e-02dB,-1.44836188359493e+02°)
1.95884467350596e+04	(-2.29565308498294e-02dB,-1.45185129623825e+02°)
1.96336027683602e+04	(-2.27718463789071e-02dB,-1.45535010696488e+02°)
1.96788628970681e+04	(-2.25857551363526e-02dB,-1.45885834933758e+02°)
1.97242273611482e+04	(-2.23982868527605e-02dB,-1.46237605707578e+02°)
1.97696964011183e+04	(-2.22094721391960e-02dB,-1.46590326405606e+02°)
1.98152702580507e+04	(-2.20193424959035e-02dB,-1.46944000431253e+02°)
1.98609491735734e+04	(-2.18279303206026e-02dB,-1.47298631203726e+02°)
1.99067333898715e+04	(-2.16352689170622e-02dB,-1.47654222158065e+02°)
1.99526231496885e+04	(-2.14413925032609e-02dB,-1.48010776745191e+02°)
1.99986186963271e+04	(-2.12463362194246e-02dB,-1.48368298431940e+02°)
2.00447202736513e+04	(-2.10501361361126e-02dB,-1.48726790701105e+02°)
2.00909281260870e+04	(-2.08528292618815e-02dB,-1.49086257051475e+02°)
2.01372424986235e+04	(-2.06544535509911e-02dB,-1.49446700997878e+02°)
2.01836636368153e+04	(-2.04550479108901e-02dB,-1.49808126071215e+02°)
2.02301917867824e+04	(-2.02546522094277e-02dB,-1.50170535818502e+02°)
2.02768271952125e+04	(-2.00533072820357e-02dB,-1.50533933802909e+02°)
2.03235701093619e+04	(-1.98510549385426e-02dB,-1.50898323603798e+02°)
2.03704207770568e+04	(-1.96479379699597e-02dB,-1.51263708816760e+02°)
2.04173794466949e+04	(-1.94440001549991e-02dB,-1.51630093053658e+02°)
2.04644463672464e+04	(-1.92392862663139e-02dB,-1.51997479942658e+02°)
2.05116217882553e+04	(-1.90338420765310e-02dB,-1.52365873128275e+02°)
2.05589059598411e+04	(-1.88277143642031e-02dB,-1.52735276271406e+02°)
2.06062991326996e+04	(-1.86209509193194e-02dB,-1.53105693049372e+02°)
2.06538015581049e+04	(-1.84136005485908e-02dB,-1.53477127155954e+02°)
2.07014134879101e+04	(-1.82057130806904e-02dB,-1.53849582301432e+02°)
2.07491351745487e+04	(-1.79973393709964e-02dB,-1.54223062212626e+02°)
2.07969668710366e+04	(-1.77885313061311e-02dB,-1.54597570632932e+02°)
2.08449088309725e+04	(-1.75793418082598e-02dB,-1.54973111322363e+02°)
2.08929613085400e+04	(-1.73698248390888e-02dB,-1.55349688057588e+02°)
2.09411245585086e+04	(-1.71600354035560e-02dB,-1.55727304631973e+02°)
2.09893988362349e+04	(-1.69500295531403e-02dB,-1.56105964855622e+02°)
2.10377843976644e+04	(-1.67398643890751e-02dB,-1.56485672555415e+02°)
2.10862814993325e+04	(-1.65295980649020e-02dB,-1.56866431575053e+02°)
2.11348903983661e+04	(-1.63192897890355e-02dB,-1.57248245775098e+02°)
2.11836113524846e+04	(-1.61089998267820e-02dB,-1.57631119033018e+02°)
2.12324446200018e+04	(-1.58987895020456e-02dB,-1.58015055243227e+02°)
2.12813904598267e+04	(-1.56887211987277e-02dB,-1.58400058317134e+02°)
2.13304491314654e+04	(-1.54788583616833e-02dB,-1.58786132183187e+02°)
2.13796208950219e+04	(-1.52692654973546e-02dB,-1.59173280786916e+02°)
2.14289060112002e+04	(-1.50600081740935e-02dB,-1.59561508090987e+02°)
2.14783047413049e+04	(-1.48511530219012e-02dB,-1.59950818075245e+02°)
2.15278173472433e+04	(-1.46427677318904e-02dB,-1.60341214736767e+02°)
2.15774440915263e+04	(-1.44349210554304e-02dB,-1.60732702089913e+02°)
2.16271852372698e+04	(-1.42276828026981e-02dB,-1.61125284166376e+02°)
2.16770410481965e+04	(-1.40211238408216e-02dB,-1.61518965015241e+02°)
2.17270117886370e+04	(-1.38153160917730e-02dB,-1.61913748703040e+02°)
2.17770977235312e+04	(-1.36103325296038e-02dB,-1.62309639313804e+02°)
2.18272991184296e+04	(-1.34062471774127e-02dB,-1.62706640949130e+02°)
2.18776162394951e+04	(-1.32031351036687e-02dB,-1.63104757728239e+02°)
2.19280493535041e+04	(-1.30010724182699e-02dB,-1.63503993788041e+02°)
2.19785987278478e+04	(-1.28001362679923e-02dB,-1.63904353283197e+02°)
2.20292646305341e+04	(-1.26004048315035e-02dB,-1.64305840386194e+02°)
2.20800473301886e+04	(-1.24019573139216e-02dB,-1.64708459287408e+02°)
2.21309470960560e+04	(-1.22048739407743e-02dB,-1.65112214195184e+02°)
2.21819641980018e+04	(-1.20092359517258e-02dB,-1.65517109335907e+02°)
2.22330989065136e+04	(-1.18151255933752e-02dB,-1.65923148954084e+02°)
2.22843514927026e+04	(-1.16226261120821e-02dB,-1.66330337312422e+02°)
